阿
阿伯
阿曾
阿爸爷
阿公
阿勾
阿呆
阿哎哎
阿哥
阿大
阿姐儿
阿带
阿弟
阿懛
阿成
阿搭
阿爹
阿爹面孔
阿答
阿胡子
阿革
阿㜆
阿㜷
阿勒
阿囡
阿埋
阿奶
阿妈
阿妈老老
阿妳
阿妹
阿姆
阿姥
阿娘
阿弥饭
阿拉
阿木林
阿舅
阿赖
阿郎
阿麽
阿一介
阿乙坏
阿也
阿叔
阿叶滑
阿啥
阿土生
阿太
阿奴
阿奴奴
阿姨
阿婆
阿嫂
阿孙
阿曲
阿歪
阿癐癐
阿童
阿要
阿𠍽
阿𠲔哇
哀求苦脑
啊唷皇天
啊喲皇天
嗄
嗄程
嗄饭
阿丈
阿侄
阿侄儿子
阿唷哇
阿唷喂
阿唷坏
阿妐
阿姊
阿捉
阿捉来
阿有介事
阿有价事
阿有倽
阿有啥
阿育坏
阿𠲔歪
埃
挨
挨挨挤
挨挨挤挤
挨擦
挨查
挨次
挨边擦沿
挨上门
挨光
挨年
挨弗着
挨得着
挨拉
挨拿
挨排
挨皮
挨肩
挨肩叠背
挨肩并足
挨肩擦背
挨身
挨门
挨门进自掇凳
挨风缉缝
挨一挨二
挨丝切缝
挨勿着
挨寻
挨山塞海
挨延
挨着
挨著
挨问
挨顺
捱
捱上门
捱寻
捱年
捱忍
捱捱挤挤
捱擦
捱次
捱空
捱肩
捱肩头
捱肩擦背
捱肩擦臂
捱身
捱门
捱风缉缝
爱小
爱歇
爱说爱话
矮
矮冬瓜
矮凳
矮婆娑
矮婆苏
矮胡子
矮锄
矮闼门
碍
碍事
碍口
碍手
碍手碍脚
碍手绊脚
碍眼
安
安乐菜
安依
安宴
安湛
安神药水
安置
安耽
安逸
安闲
按
按耳朵吃栗子
揞
揞青盲
暗暗㕶
暗暗教
暗暗能
暗暗里
盦
凹
凹楞
凹糟
凹赤茧
凹阁头
岸滩
摮
暗信
暗关子
暗刁
暗头里
暗底下
暗损
暗昏昏
暗气吞声
暗洞洞
熝
熝料
熬
爊
肮脏
黯
𬁭
